term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,edf,ref.df
s(perc_rural),NA,NA,6.054458913167618,9.466917860745383e-7,NA,NA,3r,6.084473439590849,7.162737427007792
s(perc_age1849),NA,NA,13.287163454487638,0,NA,NA,3r,7.7780570845252655,8.569340758447844
s(perc_smokers),NA,NA,74.6254129055537,0,NA,NA,3r,7.16124371830253,7.9922140081122235
s(air):perc_white,NA,NA,11.279726495705603,0,NA,NA,3r.a,8.144701302505569,9.100226803644667
s(air):perc_black,NA,NA,17.584859049083448,0,NA,NA,3r.a,7.950351818491366,8.496683690351775
s(air):perc_AIAN,NA,NA,19.689955550428113,0,NA,NA,3r.a,2.266865362405604,2.4883084947281757
s(air):perc_asian,NA,NA,19.307880159948805,0,NA,NA,3r.a,4.177857050616742,4.9390099043009705
s(air):perc_islander,NA,NA,14.334721614392954,0,NA,NA,3r.a,8.864789781040681,9.407083009081813
s(air):perc_hisp,NA,NA,44.42616031267607,0,NA,NA,3r.a,2.002127689553327,2.004125239910687
s(water),NA,NA,17.422563462245716,0,NA,NA,3r.a,8.93624784749337,8.99784214150458
s(land),NA,NA,15.403509590490312,0,NA,NA,3r.a,8.56436580411679,8.938318956462552
s(built),NA,NA,14.39219316866022,0,NA,NA,3r.a,2.5780272479356934,3.349867810051868
s(sociod),NA,NA,17.415580110040164,0,NA,NA,3r.a,8.741971328454012,8.967000755713848
s(perc_rural),NA,NA,7.06877620726208,0,NA,NA,3r.a,6.211686924355194,7.2974977771420155
s(perc_age1849),NA,NA,10.403170760576037,0,NA,NA,3r.a,7.493522062558959,8.397604707230501
s(perc_smokers),NA,NA,40.22811931611119,0,NA,NA,3r.a,7.109244870569043,7.965776171696677
s(built):perc_white,NA,NA,15.304656532227915,4.1653168147970376e-7,NA,NA,3r.b,2.0107160541086437,2.021028584552298
s(built):perc_black,NA,NA,21.08192740785329,0,NA,NA,3r.b,4.61018386248742,5.524046611412623
s(built):perc_AIAN,NA,NA,6.6541968939017435,1.6638466180385336e-6,NA,NA,3r.b,4.943218954697673,5.802128594515337
s(built):perc_asian,NA,NA,8.271532546918063,0,NA,NA,3r.b,9.343103974481034,9.738895702017086
s(built):perc_islander,NA,NA,8.995085249089874,0,NA,NA,3r.b,8.960054981680235,9.52381036393698
s(built):perc_hisp,NA,NA,11.147709261017239,0,NA,NA,3r.b,7.712114720255628,8.624002129615386
s(water),NA,NA,21.377786623488834,0,NA,NA,3r.b,8.970794039019239,8.9992617384783955
s(air),NA,NA,7.667346340697912,0,NA,NA,3r.b,6.673772624419265,7.81703644181924
s(land),NA,NA,16.597516166857325,0,NA,NA,3r.b,8.29954572745643,8.854441863105887
s(sociod),NA,NA,14.331543331226495,0,NA,NA,3r.b,8.655251098375015,8.943966376152122
s(perc_rural),NA,NA,10.675544559068186,1.088231027424058e-5,NA,NA,3r.b,1.830842319937443,2.317003181534068
s(perc_age1849),NA,NA,9.429298049996694,0,NA,NA,3r.b,7.644209713489225,8.494628922898714
s(perc_smokers),NA,NA,48.2700597939843,0,NA,NA,3r.b,6.1993738022034695,7.209597270015456
s(land):perc_white,NA,NA,17.754958765447935,0,NA,NA,3r.l,9.506356709392985,9.87787293158685
s(land):perc_black,NA,NA,17.342764737368643,0,NA,NA,3r.l,7.436195671902421,8.470303267650042
s(land):perc_AIAN,NA,NA,9.881784929274039,0,NA,NA,3r.l,3.998998069605254,4.657352844676096
s(land):perc_asian,NA,NA,18.351770557394744,0,NA,NA,3r.l,4.427139241655328,5.302320743144863
s(land):perc_islander,NA,NA,10.712253350075935,0,NA,NA,3r.l,9.650682424214628,9.909362574392024
s(land):perc_hisp,NA,NA,11.97255492391409,0,NA,NA,3r.l,8.81365096342446,9.451237895194835
s(water),NA,NA,23.217855241484305,0,NA,NA,3r.l,8.933338293034598,8.997315936280955
s(air),NA,NA,10.160857797764502,0,NA,NA,3r.l,5.589160615399566,6.809582576764225
s(built),NA,NA,6.9780703538320425,0,NA,NA,3r.l,7.977785691270461,8.684751553077806
s(sociod),NA,NA,16.550702321710627,0,NA,NA,3r.l,8.782812321119112,8.975300316723649
s(perc_rural),NA,NA,12.07801252574208,0,NA,NA,3r.l,3.8041919513365574,4.714134088752347
s(perc_age1849),NA,NA,10.716870373754126,0,NA,NA,3r.l,7.1154350306572844,8.126822988486781
s(perc_smokers),NA,NA,39.5023933553211,0,NA,NA,3r.l,5.625539658360497,6.682146439758955
s(sociod):perc_white,NA,NA,33.562181370544884,0,NA,NA,3r.s,4.469141703478464,5.403515082362865
s(sociod):perc_black,NA,NA,14.251438564971702,0,NA,NA,3r.s,9.459608616109296,9.87247299045072
s(sociod):perc_AIAN,NA,NA,9.607835595129314,0,NA,NA,3r.s,7.155262284076022,8.038523857665524
s(sociod):perc_asian,NA,NA,13.84866972991112,0,NA,NA,3r.s,5.17272182951959,5.876824657945589
s(sociod):perc_islander,NA,NA,13.134268274842974,0,NA,NA,3r.s,7.578445696539268,8.294787551976574
s(sociod):perc_hisp,NA,NA,12.644902077982785,0,NA,NA,3r.s,9.820121863755311,9.965734364286693
s(water),NA,NA,17.129593069908246,0,NA,NA,3r.s,8.922157075301149,8.996730526192156
s(air),NA,NA,7.943277051850516,0,NA,NA,3r.s,8.073450651272696,8.764835856068252
s(land),NA,NA,15.165667601790057,0,NA,NA,3r.s,8.782264006248408,8.981168103482888
s(built),NA,NA,7.089003910753081,0,NA,NA,3r.s,7.247391971197242,8.215216722725529
s(perc_rural),NA,NA,10.10159957276459,0,NA,NA,3r.s,6.4160384437195,7.494731628247445
s(perc_age1849),NA,NA,11.903535754286274,0,NA,NA,3r.s,7.14208780646297,8.151106798540518
s(perc_smokers),NA,NA,35.77662772776529,0,NA,NA,3r.s,6.599426995927254,7.552735852023541
s(water):perc_white,NA,NA,11.490614321937496,0,NA,NA,3r.w,9.763921485805133,9.968355251392337
s(water):perc_black,NA,NA,16.42248365465538,0,NA,NA,3r.w,9.793868035251267,9.975896991550309
s(water):perc_AIAN,NA,NA,7.705463408995977,0,NA,NA,3r.w,8.63466642739105,9.428618608821115
s(water):perc_asian,NA,NA,9.804114474434174,0,NA,NA,3r.w,7.238093329096126,8.14393507502048
s(water):perc_islander,NA,NA,16.212041057733874,0,NA,NA,3r.w,6.058200909984842,6.8468473950947475
s(water):perc_hisp,NA,NA,15.909355604540258,0,NA,NA,3r.w,7.950642809334978,8.883056438104864
s(air),NA,NA,6.96541091801877,0,NA,NA,3r.w,6.91733519864055,8.00461398490504
s(land),NA,NA,13.204021817147954,0,NA,NA,3r.w,8.70267323874177,8.968496643068706
s(built),NA,NA,6.041027854100957,2.9414456104159825e-7,NA,NA,3r.w,6.76961136457801,7.846557757192409
s(sociod),NA,NA,14.860275140490407,0,NA,NA,3r.w,8.551645724414863,8.907441773325589
s(perc_rural),NA,NA,6.046297266537108,6.489813282883894e-7,NA,NA,3r.w,6.2444418892092655,7.330727579807531
s(perc_age1849),NA,NA,12.61288520641648,0,NA,NA,3r.w,7.703748529051796,8.530560706517472
s(perc_smokers),NA,NA,31.359520629072104,0,NA,NA,3r.w,7.586193756042122,8.323166437837049
